提出者名,提出者業種,経常利益率5,経常利益5,売上高5,new_vector,recommend
日本エマージェンシーアシスタンス株式会社,サービス業,0.0008275295953988821,1863,2251279,"[0.0008275295953988821, 1.2, 1.5]",[234  58 150 240 183]
ＭＲＴ株式会社,サービス業,0.7645974218949126,140991,184399,"[0.7645974218949126, 1.2, 1.5]",[235   6  26 152 146]
株式会社市進ホールディングス,サービス業,0.017110166515706737,273892,16007559,"[0.017110166515706737, 1.2, 1.5]",[236  18 207 230  77]
楽天グループ株式会社,サービス業,0.045365770556436084,29825,657434,"[0.045365770556436084, 1.2, 1.5]",[141 237  79  60 209]
株式会社ダイオーズ,サービス業,0.0069192833879573356,161379,23323080,"[0.0069192833879573356, 1.2, 1.5]",[ 27 238 178 111 205]
パーソルホールディングス株式会社,サービス業,0.030679841215413124,29168,950722,"[0.030679841215413124, 1.2, 1.5]",[ 29  66  67 171 122]
ｎｍｓホールディングス株式会社,サービス業,0.002897340565877834,158939,54856858,"[0.002897340565877834, 1.2, 1.5]",[240 183  58 234 205]
株式会社クリーク・アンド・リバー社,サービス業,0.06660845994710744,2485437,37314134,"[0.06660845994710744, 1.2, 1.5]",[233 228 241 176 132]
株式会社グレイスヒルズカントリー倶楽部,サービス業,0.15818875119161105,16594,104900,"[0.15818875119161105, 1.2, 1.5]",[242 116 158  83 143]
いちご株式会社,サービス業,0.1169827923347673,7179,61368,"[0.1169827923347673, 1.2, 1.5]",[243  69  15  52 114]
株式会社トランスジェニック,サービス業,0.0807405193796674,891871,11046139,"[0.0807405193796674, 1.2, 1.5]",[223 244  47 168   8]
東京都競馬株式会社,サービス業,0.3918390378394807,11280801,28789375,"[0.3918390378394807, 1.2, 1.5]",[245 129 252  25 112]
株式会社メイテック,サービス業,0.106658663299733,10306,96626,"[0.106658663299733, 1.2, 1.5]",[118 170 246 251 169]
ビートレンド株式会社,サービス業,0.1235778485029493,105925,857152,"[0.1235778485029493, 1.2, 1.5]",[ 74 247  93  28  91]
株式会社ディーエムエス,サービス業,0.05661057223764369,1456550,25729293,"[0.05661057223764369, 1.2, 1.5]",[248 147 187   1  40]
株式会社フルキャストホールディングス,サービス業,0.14296950909175032,6180,43226,"[0.14296950909175032, 1.2, 1.5]",[249 103 174  51 151]
綜合警備保障株式会社,サービス業,0.08344399046646238,39212,469920,"[0.08344399046646238, 1.2, 1.5]",[135  54 250 133 160]
日本パレットプール株式会社,サービス業,0.10637923523748613,740660,6962449,"[0.10637923523748613, 1.2, 1.5]",[118 170 217 246 169]
株式会社ＡＬｉＮＫインターネット,サービス業,0.35202655371300257,215084,610988,"[0.35202655371300257, 1.2, 1.5]",[252  25  86 245  76]
株式会社ＮＪＳ,サービス業,0.13228781065078765,2507117,18951988,"[0.13228781065078765, 1.2, 1.5]",[253 162  32  94  61]
株式会社バリューＨＲ,サービス業,0.16549006358530868,743550,4493019,"[0.16549006358530868, 1.2, 1.5]",[254 172 138  63 145]
株式会社学情,サービス業,0.23986329380189245,1372019,5720004,"[0.23986329380189245, 1.2, 1.5]",[255  49 104  92 202]
